,ethnicity,gender,county,employment_status,primary_language,household_size,education,age
15505,caucasion,female,Calhoun County,employed,english,2,bachelor's degree,24
15506,caucasian,male,Madison County,employed,english,NA,bachelor's degree,32
15507,Native American,female,Calhoun County,employed,spanish,1,less than high school,52
15508,caucasion,female,Okeechobee County,employed,english,1,high school,48
15509,white,female,Liberty County,unemployed,english,NA,high school,22
15510,caucasion,female,Hamilton County,employed,english,1,high school,49
15511,caucasian,female,Jefferson County,employed,english,4,high school,22
15512,hispanic-white,female,Jefferson County,employed,english,3,high school,57
15513,hispanic-black,male,Taylor County,unemployed,english,1,less than high school,48
15514,caucasian,female,Franklin County,employed,english,2,bachelor's degree,37
15515,hispanic-black,female,Lafayette County,employed,spanish,NA,associate's degree,54
15516,hispanic-white,male,Bradford County,employed,english,2,associate's degree,32
15517,Native American,female,Suwannee County,employed,english,1,high school,44
15518,Native American and Alaskan Native,female,Liberty County,employed,english,NA,high school,28
15519,Native American and Alaskan Native,female,Levy County,employed,english,NA,high school,30
15520,caucasian,female,Dixie County,employed,english,1,high school,56
15521,black,male,Dixie County,unemployed,english,1,less than high school,60
15522,Native American,male,Glades County,employed,english,1,high school,50
15523,caucasian,female,Gulf County,employed,english,1,bachelor's degree,52
15524,caucasian,male,Gilchrist County,employed,english,2,graduate degree,55
15525,Native American and Alaskan Native,female,Hamilton County,employed,spanish,3,high school,33
15526,hispanic-white,female,Calhoun County,employed,english,1,high school,42
15527,hispanic-black,female,Escambia County,employed,english,1,high school,20
15528,hispanic-white,female,Bradford County,unemployed,english,4,high school,22
15529,hispanic-white,female,Liberty County,employed,other,4,bachelor's degree,59
15530,Pacific Islander,female,Calhoun County,employed,english,1,high school,60
15531,hispanic-black,female,Glades County,employed,english,3,high school,47
15532,hispanic-white,male,Lafayette County,employed,spanish,1,high school,38
15533,caucasion,male,Calhoun County,employed,english,NA,less than high school,27
15534,hispanic-white,female,Glades County,employed,english,NA,high school,36
15535,Native American and Alaskan Native,female,Franklin County,employed,english,1,associate's degree,48
15536,hispanic-black,female,Liberty County,unemployed,english,3,high school,53
15537,caucasion,female,Lafayette County,employed,english,1,high school,43
15538,caucasian,male,Marion County,employed,english,1,high school,33
15539,hispanic-black,female,Liberty County,employed,english,1,high school,41
15540,African American,male,Gilchrist County,employed,english,1,trade school or other certification,41
15541,black,female,Charlotte County,employed,english,NA,associate's degree,45
15542,hispanic-white,female,Glades County,employed,english,1,bachelor's degree,29
15543,hispanic-white,male,Calhoun County,employed,english,1,associate's degree,26
15544,Native American and Alaskan Native,female,Taylor County,employed,english,NA,associate's degree,26
15545,caucasion,female,Taylor County,employed,english,1,high school,45
15546,African American,male,Jefferson County,employed,english,NA,some university,38
15547,hispanic-white,female,Washington County,employed,english,2,associate's degree,37
15548,caucasian,male,Flagler County,employed,english,3,bachelor's degree,24
15549,white,female,DeSoto County,employed,english,2,associate's degree,30
15550,African American,female,Hardee County,employed,english,3,bachelor's degree,42
15551,hispanic-black,female,Union County,employed,spanish,1,high school,46
15552,hispanic-white,female,Liberty County,employed,english,NA,bachelor's degree,29
15553,hispanic-white,female,Gulf County,employed,english,1,high school,47
15554,caucasion,female,Gulf County,employed,english,NA,bachelor's degree,54
15555,Pacific Islander,female,Sumter County,employed,english,1,associate's degree,55
15556,caucasian,female,Liberty County,employed,english,3,graduate degree,29
15557,Asian,male,Union County,employed,english,1,high school,31
15558,white,female,Hamilton County,employed,english,1,associate's degree,25
15559,hispanic-black,male,Okeechobee County,employed,english,1,some university,51
15560,white,female,Gulf County,employed,english,3,less than high school,36
15561,hispanic-white,female,Lafayette County,employed,english,1,high school,31
15562,caucasion,female,Calhoun County,employed,english,3,high school,54
15563,Other,female,Bradford County,employed,english,2,high school,49
15564,African American,female,Gilchrist County,employed,english,NA,graduate degree,40
15565,hispanic-white,female,Calhoun County,employed,english,NA,high school,54
15566,caucasian,female,Levy County,employed,english,4,bachelor's degree,57
15567,asian,male,Holmes County,employed,english,1,high school,22
15568,hispanic-white,female,Holmes County,employed,spanish,NA,bachelor's degree,23
15569,hispanic-black,female,Lafayette County,employed,english,1,high school,47
15570,hispanic-white,female,Glades County,employed,english,3,less than high school,31
15571,hispanic-black,female,Bay County,employed,spanish,1,high school,35
15572,Native American,female,Holmes County,employed,english,NA,less than high school,20
15573,hispanic-black,female,Taylor County,employed,english,1,graduate degree,33
15574,caucasion,female,Holmes County,employed,english,1,bachelor's degree,39
15575,hispanic-white,female,Madison County,employed,english,4,high school,35
15576,caucasion,male,Jefferson County,employed,english,1,associate's degree,50
15577,Native American,male,Franklin County,employed,english,4,high school,22
15578,caucasion,female,Columbia County,employed,english,1,high school,22
15579,African American,male,Gadsden County,employed,english,1,high school,35
15580,Native American,female,Hamilton County,employed,english,NA,some university,35
15581,caucasian,female,Union County,employed,english,1,bachelor's degree,21
15582,hispanic-black,female,Hernando County,employed,english,1,high school,44
15583,Pacific Islander,female,Union County,employed,english,2,less than high school,58
15584,hispanic-white,female,Calhoun County,employed,english,1,less than high school,54
15585,caucasian,female,Marion County,unemployed,english,1,high school,42
15586,Asian,female,Taylor County,employed,english,NA,associate's degree,28
15587,Native American and Alaskan Native,female,Liberty County,unemployed,english,1,high school,30
15588,white,female,Levy County,employed,english,1,high school,27
15589,hispanic-white,male,Hamilton County,employed,english,1,associate's degree,26
15590,Native American and Alaskan Native,female,Union County,employed,english,NA,associate's degree,21
15591,white,female,Lafayette County,employed,english,NA,high school,22
15592,white,male,Gadsden County,employed,english,4,associate's degree,34
15593,caucasion,male,Holmes County,employed,english,NA,high school,27
15594,Asian,male,Taylor County,employed,english,3,bachelor's degree,51
15595,caucasian,female,Washington County,employed,english,1,associate's degree,20
15596,hispanic-white,female,Madison County,employed,english,1,high school,26
15597,hispanic-white,female,Putnam County,employed,english,1,high school,41
15598,hispanic-white,female,Calhoun County,employed,english,1,high school,22
15599,hispanic-white,female,Bradford County,employed,english,2,high school,44
15600,hispanic-black,female,Glades County,employed,spanish,NA,high school,29
15601,white,female,Liberty County,employed,english,1,less than high school,52
15602,African American,female,Glades County,employed,english,1,high school,50
15603,hispanic-white,male,Glades County,employed,english,NA,high school,54
15604,hispanic-white,male,Lafayette County,employed,english,1,associate's degree,56
15605,hispanic-white,female,Lafayette County,employed,english,1,high school,24
15606,white,female,Franklin County,employed,english,1,high school,57
15607,hispanic-black,female,Jefferson County,employed,spanish,1,high school,58
15608,hispanic-black,female,Jefferson County,employed,english,1,graduate degree,39
15609,white,male,Dixie County,employed,english,3,some university,31
15610,Native American and Alaskan Native,female,Lafayette County,employed,english,1,high school,49
15611,white,female,Jefferson County,employed,english,1,associate's degree,52
15612,caucasion,female,Hardee County,employed,english,NA,some university,45
15613,caucasion,female,Jackson County,employed,english,1,bachelor's degree,51
15614,asian,female,Lafayette County,employed,english,NA,bachelor's degree,30
15615,caucasian,female,Gilchrist County,employed,english,2,high school,60
15616,white,male,Union County,employed,english,1,associate's degree,24
15617,hispanic-white,female,Madison County,employed,english,1,high school,55
15618,caucasian,female,Bradford County,employed,english,4,some university,43
